Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diandra Bruised Head,Brodie Heidinger,Glen Motz,Geoff Shoesmith,Jocelyn Stenger,Hannah Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 1","Ralston",3,24,104,6,30,12,2,181,328
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 2","Hilda",0,15,55,1,5,2,0,78,176
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 3","Schuler",0,14,77,1,4,1,0,97,215
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 4","Redcliff",4,21,158,4,19,6,1,213,610
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 5","Redcliff",1,24,104,5,32,7,0,173,489
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 6","Redcliff",3,14,88,2,29,7,0,143,388
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 7","Redcliff",3,13,90,5,39,8,0,158,402
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 8","Medicine Hat",1,20,118,1,40,13,0,193,570
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 9","Medicine Hat",2,13,92,5,32,5,1,150,413
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 10","Medicine Hat",0,8,93,4,23,15,1,144,358
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 11","Medicine Hat",5,15,93,1,32,10,2,158,444
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 12","Redcliff",2,15,97,15,33,9,1,172,435
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 13","Redcliff",3,19,117,2,31,6,2,180,468
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 14","Redcliff",4,15,99,11,22,13,3,167,457
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 15","Redcliff",2,25,144,5,36,14,1,227,535
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 16","Redcliff",1,9,120,7,34,9,0,180,479
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 17","Medicine Hat",2,15,112,8,46,16,0,199,418
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 18","Medicine Hat",6,11,125,2,58,19,1,222,546
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 19","Medicine Hat",5,15,98,2,38,11,0,169,407
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 20","Medicine Hat",2,8,113,2,41,12,1,179,406
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 21","Medicine Hat",4,14,107,9,31,6,0,171,456
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 22","Medicine Hat",1,6,114,3,37,12,0,173,419
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 23","Medicine Hat",2,14,108,1,26,8,1,160,372
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 24","Medicine Hat",1,2,41,4,15,8,0,71,177
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 25","Medicine Hat",3,18,82,4,24,19,2,152,430
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 26","Medicine Hat",6,7,81,6,40,19,2,161,441
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 27","Medicine Hat",9,15,83,4,53,15,1,180,444
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 28","Medicine Hat",0,4,100,2,18,13,0,137,383
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 29","Medicine Hat",3,19,181,4,42,16,0,265,547
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 30A","Medicine Hat",1,13,120,3,37,20,0,194,430
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 30B","Medicine Hat",4,12,68,1,24,20,2,131,304
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 31","Medicine Hat",0,17,112,1,26,13,1,170,473
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 32","Medicine Hat",0,11,150,4,21,18,2,206,453
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 33","Medicine Hat",2,14,165,2,68,33,1,285,561
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 34","Medicine Hat",2,12,111,3,52,36,1,217,431
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 35","Medicine Hat",5,8,122,10,38,22,0,205,417
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 36","Medicine Hat",5,13,85,0,43,19,0,165,481
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 37","Medicine Hat",0,12,89,3,43,10,1,158,436
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 38","Medicine Hat",3,19,69,5,25,11,2,134,372
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 39","Medicine Hat",1,23,101,2,21,8,1,157,361
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 40","Medicine Hat",2,19,71,5,23,16,0,136,362
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 41","Medicine Hat",6,3,93,2,25,22,0,151,364
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 42","Medicine Hat",5,33,114,3,36,17,0,208,472
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 43","Medicine Hat",2,24,66,4,33,17,0,146,435
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 44","Medicine Hat",1,24,74,5,41,18,0,163,429
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 45","Medicine Hat",3,14,71,7,22,14,0,131,432
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 46","Medicine Hat",1,11,90,2,20,6,0,130,426
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 47","Seven Persons",2,29,199,7,30,9,0,276,561
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 48","Medicine Hat",5,14,73,2,20,16,0,130,448
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 49","Medicine Hat",2,16,117,2,14,9,0,160,391
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 50","Medicine Hat",8,39,109,5,62,21,1,245,604
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 51","Medicine Hat",7,19,110,6,44,29,0,215,443
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 52","Medicine Hat",4,15,69,2,29,13,1,133,418
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 53","Medicine Hat",7,16,84,3,46,23,0,179,428
