Province,Electors/Électeurs 2021,Electors/Électeurs 2019,Electors/Électeurs 2015,Electors/Électeurs 2011,Total Ballots Cast/Total des bulletins déposés 2021,Total Ballots Cast/Total des bulletins déposés 2019,Total Ballots Cast/Total des bulletins déposés 2015,Total Ballots Cast/Total des bulletins déposés 2011,Percentage of Voter Turnout/Pourcentage de la participation électorale 2021,Percentage of Voter Turnout/Pourcentage de la participation électorale 2019,Percentage of Voter Turnout/Pourcentage de la participation électorale 2015,Percentage of Voter Turnout/Pourcentage de la participation électorale 2011
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",418226,420067,421038,414779,220631,246889,257389,218166,52.8,58.8,61.1,52.6
"Prince Edward Island/Île-du-Prince-Édouard",118964,116721,113505,108456,85277,86362,87868,79511,71.7,74,77.4,73.3
"Nova Scotia/Nouvelle-Écosse",779247,771411,742931,733094,492740,538738,526069,454266,63.2,69.8,70.8,62
"New Brunswick/Nouveau-Brunswick",622974,616704,597542,592818,400901,444356,444459,392208,64.4,72.1,74.4,66.2
"Quebec/Québec",6508575,6482847,6393478,6130307,4132267,4360030,4303758,3853120,63.5,67.3,67.3,62.9
"Ontario",10492441,10484419,9691517,9033266,6505569,6947807,6572378,5556608,62,66.3,67.8,61.5
"Manitoba",931927,927347,887983,831041,577577,595998,603240,493340,62,64.3,67.9,59.4
"Saskatchewan",808175,807984,779405,723814,518913,586536,553792,456501,64.2,72.6,71.1,63.1
"Alberta",3033419,3023980,2842504,2509390,1954910,2093981,1937228,1400674,64.4,69.2,68.2,55.8
"British Columbia/Colombie-Britannique",3713048,3641258,3392598,3109917,2279961,2402554,2374317,1879304,61.4,66,70,60.4
"Yukon",30482,29591,26879,24341,19548,21150,20385,16124,64.1,71.5,75.8,66.2
"Northwest Territories/Territoires du Nord-Ouest",30519,30704,30110,29020,14250,16416,19077,15655,46.7,53.5,63.4,53.9
"Nunavut",21499,20025,20252,17349,7267,9542,12023,7931,33.8,47.7,59.4,45.7
